offer_expiration(hrs),income_range,shaadi,restaurant_type,age,western/chinese,gender,restuarant_same_direction_house,cooks_regularly,customer_type,education,is_foodie,industry,children,visit_restaurant_with_rating_(avg),temperature,travel_time,climate,drop_location,prefer_home_food,offer_accepted
48,100000,Married partner,4 star restaurant,36,0,Female,0,1,Individual,Bachelors degree,0,Unemployed,0,4,67,22,Spring,Location B,0,No
48,93749.5,Married partner,Take-away restaurant,52,0,Female,1,1,Individual,Bachelors degree,0,Unemployed,1,3,89,18,Summer,Location B,0,Yes
48,93749.5,Single,Cold drinks,26,1,Female,1,0,Individual,Bachelors degree,1,Arts Design Entertainment Sports & Media,1,4,67,7,Winter,Location A,1,Yes
10,43749.5,Single,Take-away restaurant,46,1,Male,1,0,Individual,Some college - no degree,1,Sales & Related,1,3,89,7,Summer,Location C,0,No
48,100000,Single,4 star restaurant,21,0,Female,0,0,Individual,Some college - no degree,1,Sales & Related,0,3,40,7,Summer,Location C,0,No
10,12500,Divorced,Take-away restaurant,52,1,Female,0,0,Individual,Bachelors degree,1,Sales & Related,0,0,40,22,Spring,Location C,0,Yes
48,12500,Single,Cold drinks,18,0,Male,1,1,With Family,Some college - no degree,1,Student,0,0,89,7,Spring,Location C,0,Yes
48,56249.5,Married partner,Restaurant with pub,52,0,Female,0,0,With Family,Bachelors degree,0,Student,1,0,40,10,Summer,Location B,0,No
10,18749.5,Single,Restaurant with pub,41,1,Female,0,1,With Kids,Some college - no degree,1,Business & Financial,1,1,89,7,Summer,Location C,0,No
10,81249.5,Married partner,4 star restaurant,41,1,Female,0,0,With Colleagues,Graduate degree (Masters or Doctorate),0,Computer & Mathematical,1,0,67,22,Winter,Location B,0,Yes
48,56249.5,Married partner,4 star restaurant,26,0,Female,0,0,With Colleagues,Bachelors degree,0,Office & Administrative Support,0,0,40,18,Summer,Location A,1,No
48,93749.5,Married partner,Cold drinks,46,0,Male,0,1,With Colleagues,Graduate degree (Masters or Doctorate),1,Management,1,3,89,10,Winter,Location A,1,Yes
10,100000,Single,Restaurant with pub,21,1,Male,0,0,Individual,Bachelors degree,1,Student,0,4,67,22,Summer,Location B,1,No
10,18749.5,Single,Cold drinks,21,1,Male,1,1,Individual,Bachelors degree,0,Arts Design Entertainment Sports & Media,0,0,89,7,Summer,Location A,1,No
48,43749.5,Single,Take-away restaurant,26,1,Female,0,1,With Family,Some college - no degree,0,Healthcare Support,0,4,89,18,Spring,Location A,0,Yes
48,31249.5,Married partner,Restaurant with pub,21,1,Female,0,1,With Family,Some college - no degree,0,Unemployed,1,4,89,7,Summer,Location C,0,No
10,81249.5,Married partner,Cold drinks,41,1,Female,0,0,With Family,Associates degree,0,Unemployed,1,3,89,18,Winter,Location B,1,No
10,100000,Married partner,Cold drinks,36,0,Male,0,1,Individual,Graduate degree (Masters or Doctorate),0,Life Physical Social Science,1,1,67,7,Summer,Location C,0,No
48,31249.5,Single,2 star restaurant,18,0,Male,0,0,Individual,Some college - no degree,1,Student,0,0,89,7,Winter,Location C,1,Yes
48,100000,Married partner,Cold drinks,21,1,Male,1,1,With Kids,Associates degree,1,Management,0,2,40,7,Summer,Location C,1,No
10,93749.5,Married partner,Cold drinks,31,0,Male,0,1,Individual,Graduate degree (Masters or Doctorate),0,Management,1,2,89,18,Summer,Location B,0,No
48,12500,Single,2 star restaurant,31,0,Female,0,1,Individual,Associates degree,0,Office & Administrative Support,0,0,89,10,Summer,Location B,1,No
48,100000,Single,Cold drinks,21,0,Male,1,0,Individual,Bachelors degree,0,Sales & Related,0,1,89,18,Summer,Location B,0,Yes
48,43749.5,Single,Cold drinks,46,1,Male,0,0,Individual,Associates degree,0,Installation Maintenance & Repair,0,2,40,18,Summer,Location B,0,Yes
10,31249.5,Single,Cold drinks,52,1,Female,0,1,Individual,Bachelors degree,0,Legal,1,1,40,10,Summer,Location A,1,No
48,31249.5,Single,Take-away restaurant,21,1,Male,0,0,Individual,Bachelors degree,0,Student,0,4,40,7,Winter,Location C,1,No
48,81249.5,Single,Take-away restaurant,31,0,Female,0,1,With Family,Associates degree,1,Arts Design Entertainment Sports & Media,0,4,67,14,Winter,Location B,1,No
10,43749.5,Unmarried partner,2 star restaurant,31,1,Female,1,1,Individual,Bachelors degree,0,Sales & Related,1,1,89,7,Winter,Location C,0,No
10,56249.5,Single,Restaurant with pub,26,1,Male,1,1,Individual,Bachelors degree,1,Office & Administrative Support,0,4,89,7,Summer,Location C,1,Yes
48,18749.5,Unmarried partner,4 star restaurant,26,1,Male,0,0,With Kids,Bachelors degree,0,Community & Social Services,0,4,89,14,Summer,Location C,1,No
48,100000,Married partner,Cold drinks,21,0,Male,0,0,Individual,Some college - no degree,1,Unemployed,1,1,67,18,Summer,Location B,1,Yes
48,43749.5,Unmarried partner,2 star restaurant,26,1,Female,0,1,With Kids,Graduate degree (Masters or Doctorate),1,Education&Training&Library,0,0,89,18,Winter,Location A,1,Yes
48,56249.5,Married partner,Take-away restaurant,21,0,Male,1,1,Individual,Bachelors degree,0,Management,0,2,89,7,Summer,Location C,1,Yes
10,100000,Married partner,Take-away restaurant,36,1,Female,1,1,Individual,Graduate degree (Masters or Doctorate),0,Life Physical Social Science,1,3,40,18,Summer,Location C,0,Yes
10,18749.5,Single,Take-away restaurant,21,0,Male,0,0,Individual,Bachelors degree,0,Computer & Mathematical,0,3,89,7,Summer,Location C,0,Yes
10,18749.5,Single,Take-away restaurant,26,1,Female,0,0,With Family,Bachelors degree,0,Student,0,1,40,10,Summer,Location A,1,No
48,93749.5,Unmarried partner,2 star restaurant,18,1,Male,0,0,With Kids,Some college - no degree,1,Student,0,1,89,22,Winter,Location A,0,Yes
