offer_expiration(hrs),income_range,visited_ColdDrinks,travelled_more_than_15_mins,resturant_spend_more_than_20,shaadi,restaurant_type,age,western/chinese,travel_more_than_25_mins,travel_more_than_5_mins,number_visted_bars,gender,restuarant_same_direction_house,cooks_regularly,customer_type,education,is_foodie,number_of_take_aways,industry,restuarant_same_opposite_house,children,visit_restaurant_with_rating_(avg),temperature,restaurant_spend_greater_than_20,travel_time,climate,drop_location,prefer_home_food,offer_accepted
48,100000,6,1,1,Married partner,4 star restaurant,36,0,0,1,1,Female,0,1,Individual,Bachelors degree,0,2,Unemployed,0,0,4,67,1,22,Spring,Location B,0,No
48,93749.5,6,0,6,Married partner,Take-away restaurant,52,0,0,1,0,Female,1,1,Individual,Bachelors degree,0,2,Unemployed,0,1,3,89,2,18,Summer,Location B,0,Yes
48,93749.5,1,1,2,Single,Cold drinks,26,1,0,1,0,Female,1,0,Individual,Bachelors degree,1,2,Arts Design Entertainment Sports & Media,1,1,4,67,1,7,Winter,Location A,1,Yes
10,43749.5,1,0,2,Single,Take-away restaurant,46,1,0,1,0,Male,1,0,Individual,Some college - no degree,1,2,Sales & Related,0,1,3,89,2,7,Summer,Location C,0,No
48,100000,0,1,2,Single,4 star restaurant,21,0,1,1,1,Female,0,0,Individual,Some college - no degree,1,10,Sales & Related,1,0,3,40,1,7,Summer,Location C,0,No
10,12500,6,1,10,Divorced,Take-away restaurant,52,1,0,1,0,Female,0,0,Individual,Bachelors degree,1,10,Sales & Related,1,0,0,40,1,22,Spring,Location C,0,Yes
48,12500,1,1,2,Single,Cold drinks,18,0,0,1,0,Male,1,1,With Family,Some college - no degree,1,10,Student,0,0,0,89,0,7,Spring,Location C,0,Yes
48,56249.5,0,1,2,Married partner,Restaurant with pub,52,0,0,1,2,Female,0,0,With Family,Bachelors degree,0,6,Student,1,1,0,40,1,10,Summer,Location B,0,No
10,18749.5,1,1,1,Single,Restaurant with pub,41,1,0,1,0,Female,0,1,With Kids,Some college - no degree,1,1,Business & Financial,1,1,1,89,0,7,Summer,Location C,0,No
10,81249.5,6,1,2,Married partner,4 star restaurant,41,1,0,1,1,Female,0,0,With Colleagues,Graduate degree (Masters or Doctorate),0,10,Computer & Mathematical,1,1,0,67,1,22,Winter,Location B,0,Yes
48,56249.5,1,1,2,Married partner,4 star restaurant,26,0,0,1,0,Female,0,0,With Colleagues,Bachelors degree,0,2,Office & Administrative Support,1,0,0,40,0,18,Summer,Location A,1,No
48,93749.5,2,0,1,Married partner,Cold drinks,46,0,0,1,1,Male,0,1,With Colleagues,Graduate degree (Masters or Doctorate),1,2,Management,1,1,3,89,2,10,Winter,Location A,1,Yes
10,100000,6,1,6,Single,Restaurant with pub,21,1,0,1,2,Male,0,0,Individual,Bachelors degree,1,2,Student,1,0,4,67,2,22,Summer,Location B,1,No
10,18749.5,1,0,2,Single,Cold drinks,21,1,0,1,0,Male,1,1,Individual,Bachelors degree,0,10,Arts Design Entertainment Sports & Media,0,0,0,89,0,7,Summer,Location A,1,No
48,43749.5,1,1,10,Single,Take-away restaurant,26,1,0,1,0,Female,0,1,With Family,Some college - no degree,0,2,Healthcare Support,1,0,4,89,10,18,Spring,Location A,0,Yes
48,31249.5,1,1,1,Married partner,Restaurant with pub,21,1,0,1,0,Female,0,1,With Family,Some college - no degree,0,2,Unemployed,1,1,4,89,1,7,Summer,Location C,0,No
10,81249.5,1,1,2,Married partner,Cold drinks,41,1,0,1,0,Female,0,0,With Family,Associates degree,0,6,Unemployed,1,1,3,89,1,18,Winter,Location B,1,No
10,100000,6,1,2,Married partner,Cold drinks,36,0,0,1,1,Male,0,1,Individual,Graduate degree (Masters or Doctorate),0,2,Life Physical Social Science,1,1,1,67,1,7,Summer,Location C,0,No
48,31249.5,0,0,0,Single,2 star restaurant,18,0,0,1,0,Male,0,0,Individual,Some college - no degree,1,1,Student,1,0,0,89,1,7,Winter,Location C,1,Yes
48,100000,2,0,1,Married partner,Cold drinks,21,1,0,1,2,Male,1,1,With Kids,Associates degree,1,2,Management,0,0,2,40,1,7,Summer,Location C,1,No
10,93749.5,0,1,10,Married partner,Cold drinks,31,0,1,1,0,Male,0,1,Individual,Graduate degree (Masters or Doctorate),0,6,Management,1,1,2,89,6,18,Summer,Location B,0,No
48,12500,2,1,6,Single,2 star restaurant,31,0,1,1,0,Female,0,1,Individual,Associates degree,0,6,Office & Administrative Support,1,0,0,89,2,10,Summer,Location B,1,No
48,100000,6,0,6,Single,Cold drinks,21,0,0,1,1,Male,1,0,Individual,Bachelors degree,0,2,Sales & Related,0,0,1,89,2,18,Summer,Location B,0,Yes
48,43749.5,10,0,2,Single,Cold drinks,46,1,0,1,0,Male,0,0,Individual,Associates degree,0,2,Installation Maintenance & Repair,1,0,2,40,1,18,Summer,Location B,0,Yes
10,31249.5,1,1,2,Single,Cold drinks,52,1,0,1,0,Female,0,1,Individual,Bachelors degree,0,6,Legal,1,1,1,40,1,10,Summer,Location A,1,No
48,31249.5,6,0,2,Single,Take-away restaurant,21,1,0,1,2,Male,0,0,Individual,Bachelors degree,0,2,Student,1,0,4,40,1,7,Winter,Location C,1,No
48,81249.5,1,0,2,Single,Take-away restaurant,31,0,0,1,0,Female,0,1,With Family,Associates degree,1,10,Arts Design Entertainment Sports & Media,1,0,4,67,1,14,Winter,Location B,1,No
10,43749.5,1,1,6,Unmarried partner,2 star restaurant,31,1,0,1,2,Female,1,1,Individual,Bachelors degree,0,6,Sales & Related,0,1,1,89,1,7,Winter,Location C,0,No
10,56249.5,0,0,2,Single,Restaurant with pub,26,1,0,1,6,Male,1,1,Individual,Bachelors degree,1,6,Office & Administrative Support,0,0,4,89,1,7,Summer,Location C,1,Yes
48,18749.5,1,1,1,Unmarried partner,4 star restaurant,26,1,0,1,0,Male,0,0,With Kids,Bachelors degree,0,1,Community & Social Services,1,0,4,89,1,14,Summer,Location C,1,No
